UserID,ETDDC,TimeInSession_sec,GameInSession,RMS_3D_POS,MED_3D_POS,RMS_ANGLE_DEG,MED_ANGLE_DEG,RMS_DIST_DIOP,MED_DIST_DIOP
001,1,21.220248,1,3.92303,4.16517,0.366874,0.289391,0.097642,0.0947441
001,1,844.617482,2,3.29428,2.80907,0.695516,0.445872,0.150365,0.0575753
001,1,2004.292775,3,2.0978,0.69239,0.559772,0.543207,0.0862903,0.0331931
001,1,3236.209719,4,4.33985,4.53111,0.569462,0.498893,0.145541,0.120109
001,0,21.440982,1,3.32702,2.47281,0.768966,0.648309,0.156036,0.108483
001,0,1152.946447,2,2.23696,0.861409,1.00663,0.683855,0.077634,0.0332237
001,0,2425.986234,3,3.01615,1.38251,0.644636,0.407344,0.0870882,0.0620222
001,0,3564.435982,4,2.34388,1.40555,2.35455,0.593473,0.111007,0.031259
002,0,18.50999,1,2.96601,1.85328,0.438345,0.446749,0.140473,0.0391354
002,0,1232.147869,2,3.28162,2.75562,0.450839,0.445872,0.11263,0.0556701
002,0,2466.038343,3,4.06823,2.37203,0.751298,0.650118,0.181592,0.0332404
002,0,3739.814796,4,3.63013,2.43064,0.794531,0.472712,0.121454,0.117999
002,1,18.578793,1,3.6994,4.90639,0.579559,0.507449,0.0699828,0.0332372
002,1,1241.09616,2,1.45484,0.534633,0.634188,0.48618,0.091748,0.015419
002,1,2331.892569,3,2.97799,1.01632,0.358876,0.307105,0.0853963,0.0548765
002,1,3670.148966,4,2.43572,0.801365,0.66384,0.595448,0.0656768,0.0327295
003,1,19.366272,1,3.09358,1.42415,0.61646,0.490986,0.093271,0.0332498
003,1,1218.740778,2,2.76006,0.932651,4.08844,0.961034,0.119114,0.0374721
003,1,2432.039475,3,4.35404,1.26688,1.08705,0.848806,0.354004,0.0901746
003,1,3582.189275,4,3.4772,1.92787,2.08365,0.520018,0.104281,0.0428932
003,0,48.02477,1,6.83605,2.53617,8.65654,4.81451,3.47955,2.71779
003,0,1356.255983,2,6.45644,4.98238,1.32413,0.586508,0.286379,0.101225
003,0,2511.678416,3,2.99465,1.57395,3.72893,1.20934,0.206934,0.033246
003,0,2501.856542,3,3.40163,1.97709,2.44572,1.03268,0.225667,0.0332466
004,0,19.575677,1,3.87512,4.97683,0.485853,0.438348,0.0697521,0.0332283
004,0,664.145475,2,3.76687,4.97692,0.35186,0.312787,0.0535876,0.0332305
004,0,1899.704703,3,3.4966,2.44074,0.567469,0.471469,0.0664435,0.0332326
004,0,2989.997248,4,2.04125,0.673723,0.374708,0.239031,0.0569481,0.0233754
004,1,20.211885,1,3.48199,2.31851,0.357685,0.320206,0.0872271,0.033216
004,1,1217.90471,2,2.26906,0.563684,0.361131,0.255644,0.0641458,0.033217
004,1,2499.67495,3,1.74309,0.573801,0.371442,0.305828,0.0830741,0.0318495
004,1,3568.670383,4,3.43136,2.84556,0.556057,0.497715,0.133159,0.0332165
005,1,19.445945,1,4.30593,4.97681,1.27426,0.898746,0.149455,0.0383702
005,1,1454.900541,2,4.41586,3.24751,0.890914,0.829215,0.198525,0.0723168
005,1,1497.245157,2,2.85674,1.01491,2.82568,1.08498,0.0868254,0.0332209
005,1,2101.549299,3,7.55796,5.50522,9.23389,10.1293,0.260066,0.03322
005,1,3232.640918,4,4.14478,3.48945,1.81193,0.961848,0.180296,0.131393
005,0,47.356502,1,5.40286,4.96457,1.56773,1.4787,0.242873,0.0429696
005,0,1347.442447,2,5.27799,1.57533,1.71607,1.32264,0.363845,0.0266039
005,0,2574.816075,3,3.8457,2.7876,2.04724,0.620551,0.229244,0.142171
005,0,3800.046153,4,6.05575,4.99358,2.65691,1.9434,0.523984,0.117204
006,0,19.218899,1,2.84546,2.17062,0.563485,0.46436,0.138666,0.0816169
006,0,658.968038,2,2.17157,1.57718,0.83396,0.752255,0.142285,0.0260027
006,0,663.931527,2,2.62512,1.34768,0.6297,0.416841,0.135188,0.0264586
006,0,1758.331434,3,3.23824,2.03742,2.46016,0.558831,0.138736,0.0907355
006,0,3068.595001,4,4.14918,4.42751,0.432881,0.394161,0.167714,0.11191
006,0,18.820308,1,1.82009,0.500356,0.563217,0.53008,0.0451459,0.0181418
006,0,1319.091175,2,2.88197,1.57277,0.530506,0.300014,0.115867,0.0668224
006,0,1317.927119,2,3.64992,3.34375,0.304388,0.214891,0.0961256,0.0863562
006,0,2199.636596,3,2.04123,0.763967,0.650901,0.49614,0.0620135,0.0400603
006,0,3584.037728,4,2.85204,1.84656,0.564333,0.500068,0.100625,0.0324687
006,0,4228.342317,4,2.01294,1.29466,0.580631,0.375344,0.131406,0.0295411
007,1,21.578426,1,2.69128,1.15452,0.905015,0.540679,0.17191,0.110901
007,1,1299.501684,2,3.03278,1.01508,0.442357,0.363695,0.119319,0.059318
007,1,2446.65327,3,3.34642,1.08211,0.597657,0.53923,0.107548,0.0921135
007,1,3771.953273,4,2.91624,2.32342,0.748349,0.448934,0.156404,0.0409667
007,0,18.774474,1,2.50513,1.62299,0.629124,0.351102,0.167509,0.0732505
007,0,20.145402,1,4.08094,4.47721,0.720386,0.642549,0.154469,0.127602
007,0,1356.119109,2,3.36423,2.96527,1.00158,0.589503,0.182713,0.0761681
007,0,2600.526354,3,3.59677,3.17589,0.772174,0.748081,0.169272,0.108309
008,0,22.999326,1,3.37335,1.10972,0.682195,0.509757,0.0986702,0.064429
008,0,1214.794738,2,2.80234,1.40567,0.752952,0.593143,0.108527,0.0415783
008,0,2357.511252,3,3.61898,2.76098,0.889899,0.618023,0.130581,0.0752946
008,0,3612.339096,4,2.47783,1.10228,0.973613,0.915998,0.111269,0.0637409
008,1,18.408812,1,3.77426,2.7569,0.779927,0.620551,0.159394,0.111205
008,1,1210.826792,2,2.52486,1.72455,0.694029,0.507063,0.108005,0.0578361
008,1,2399.868221,3,2.85719,1.85673,0.842121,0.64589,0.13355,0.0519999
008,1,3590.61893,4,2.5025,1.07508,0.776075,0.451108,0.117865,0.050221
009,1,25.299715,1,1.93517,0.669697,0.415666,0.359365,0.0710419,0.0352691
009,1,1360.717802,2,2.48943,1.15753,0.468183,0.408783,0.0769776,0.0438713
009,1,2015.041563,3,2.29016,0.620467,0.406071,0.336882,0.050522,0.0388959
009,1,3254.437285,4,3.9474,4.41768,0.432476,0.393664,0.102489,0.0907453
009,0,21.333232,1,2.44771,0.811919,0.374799,0.332791,0.0726823,0.0332202
009,0,1394.578752,2,2.08726,0.849515,0.480987,0.448498,0.0676261,0.0381096
009,0,2648.311838,3,2.74531,1.2802,0.562265,0.476012,0.0756401,0.0332192
009,0,3892.083547,4,3.47502,1.6664,0.594273,0.499677,0.0809161,0.0388137
011,1,22.17451,1,3.23279,1.80628,0.550725,0.51129,0.077534,0.0332358
011,1,20.141224,1,2.63632,1.06125,1.38763,0.621181,0.0436844,0.0332379
011,1,721.039945,2,3.13029,1.62563,2.23537,1.60925,0.0912602,0.0332382
011,1,1941.035241,3,5.37287,4.98109,0.702017,0.619604,0.179861,0.0332398
011,1,3236.594029,4,2.90311,1.30938,0.362906,0.34605,0.147855,0.0520387
011,0,18.942229,1,2.25134,0.475084,0.564064,0.438795,0.0362546,0.0176389
011,0,1316.470848,2,2.95574,0.739009,0.710935,0.644981,0.104841,0.0398518
011,0,2420.085083,3,3.47556,2.68292,0.719374,0.530818,0.137286,0.0332485
012,0,21.559021,1,4.00326,4.26298,0.881315,0.894162,0.119076,0.115192
