userID,session,ETDDC,chunk,dur
14,1,0,1,548.296565
14,1,0,2,651.097259
14,1,0,3,574.670058
14,1,0,4,631.485255
14,1,0,5,560.991302
14,1,0,6,627.177182
14,1,0,7,570.716075
14,1,0,8,592.472543
14,2,1,1,614.943555
14,2,1,2,638.565735
14,2,1,3,496.205355
14,2,1,4,638.364649
14,2,1,5,591.082813
14,2,1,6,553.429226
14,2,1,7,617.108291
14,2,1,8,687.545772
15,1,1,1,662.151129
15,1,1,2,639.709954
15,1,1,3,603.38157
15,1,1,4,574.799104
15,1,1,5,699.529643
15,1,1,6,510.284131
15,1,1,7,516.725387
15,1,1,8,574.840755
15,2,0,1,633.297154
15,2,0,2,544.528873
15,2,0,3,695.596449
15,2,0,4,621.664944
15,2,0,5,484.02643
15,2,0,6,601.289092
15,2,0,7,588.42803
15,2,0,8,643.306364
16,1,0,1,646.437475
16,1,0,2,735.474024
16,1,0,3,485.204757
16,1,0,4,634.343333
16,1,0,5,597.819346
16,1,0,6,576.261539
16,1,0,7,660.785953
16,1,0,8,638.479944
16,2,1,1,567.447625
16,2,1,2,565.385622
16,2,1,3,559.856723
16,2,1,4,636.91746
16,2,1,5,603.026434
16,2,1,6,611.405488
16,2,1,7,562.906583
16,2,1,8,652.816953
1,1,1,1,638.317012
1,1,1,2,590.944098
1,1,1,3,547.816029
1,1,1,4,718.724849
1,1,1,5,494.034237
1,1,1,6,625.677256
1,1,1,7,612.598352
1,1,1,8,735.931722
1,2,0,1,519.717135
1,2,0,2,590.059033
1,2,0,3,539.536237
1,2,0,4,714.477823
1,2,0,5,485.979354
1,2,0,6,633.355026
1,2,0,7,560.836111
1,2,0,8,677.016106
20,1,0,1,582.462751
20,1,0,2,599.575512
20,1,0,3,548.348061
20,1,0,4,614.217002
20,1,0,5,553.96063
20,1,0,6,608.650761
20,1,0,7,613.362048
20,1,0,8,584.25439
20,2,1,1,572.825588
20,2,1,2,701.617363
20,2,1,3,477.483192
20,2,1,4,621.973853
20,2,1,5,615.003211
20,2,1,6,564.129544
20,2,1,7,608.940792
20,2,1,8,596.916356
21,1,1,1,688.277748
21,1,1,2,441.013708
21,1,1,3,678.985387
21,1,1,4,729.122563
21,1,1,5,660.403872
21,1,1,6,647.754182
21,1,1,7,564.435247
21,1,1,8,630.607447
21,2,0,1,516.873029
21,2,0,2,691.113134
21,2,0,3,547.28078
21,2,0,4,564.142633
21,2,0,5,596.63762
21,2,0,6,633.886301
21,2,0,7,497.811819
21,2,0,8,620.44914
22,1,0,1,713.439382
22,1,0,2,538.073318
22,1,0,3,572.014468
22,1,0,4,590.630621
22,1,0,5,561.802281
22,1,0,6,517.607382
22,1,0,7,583.451886
22,1,0,8,699.0098
22,2,1,1,643.99022
22,2,1,2,490.951699
22,2,1,3,528.622992
22,2,1,4,593.250118
22,2,1,5,526.302148
22,2,1,6,572.87571
22,2,1,7,555.905398
22,2,1,8,765.103628
26,1,0,1,562.446211
26,1,0,2,564.546541
26,1,0,3,556.837884
26,1,0,4,628.435835
26,1,0,5,506.127427
26,1,0,6,601.820258
26,1,0,7,591.741304
26,1,0,8,551.159498
26,2,1,1,773.672291
26,2,1,2,654.051544
26,2,1,3,625.598213
26,2,1,4,736.394653
26,2,1,5,618.969506
26,2,1,6,641.610222
26,2,1,7,602.361817
26,2,1,8,569.75043
27,1,1,1,578.200291
27,1,1,2,591.018392
27,1,1,3,498.436227
27,1,1,4,523.806032
27,1,1,5,518.268989
27,1,1,6,542.543152
27,1,1,7,534.54787
27,1,1,8,653.310211
27,2,0,1,701.787079
27,2,0,2,729.740683
27,2,0,3,407.314811
27,2,0,4,728.873945
27,2,0,5,583.178903
27,2,0,6,729.910964
27,2,0,7,724.673708
27,2,0,8,665.198122
28,1,0,1,559.559371
28,1,0,2,682.221441
28,1,0,3,486.111878
28,1,0,4,638.497936
28,1,0,5,454.281271
28,1,0,6,550.351086
